customer_id,name,gender,date_of_birth,occupation,city,state,risk_score,age
29,Priya Bose,Other,1994-03-09,Engineer,Pune,Maharashtra,0.72,29
30,Aditya Chopra,Male,1974-05-28,Business Owner,Hyderabad,Telangana,0.62,49
31,Sara Singh,Female,1987-09-23,Engineer,Kalyan-Dombivli,Maharashtra,0.06,36
32,Arnav Singh,Male,2003-10-18,Student,Surat,Gujarat,0.16,20
33,Riya Menon,Female,1976-06-25,Business Owner,Allahabad,Uttar Pradesh,0.93,47
34,Sara Patel,Other,1955-12-11,Retired,Rajkot,Gujarat,0.29,68
35,Sara Banerjee,Other,1982-08-12,Business Owner,Vadodara,Gujarat,0.25,41
36,Sai Gupta,Other,1963-07-22,Retired,Navi Mumbai,Maharashtra,0.9,60
37,Rohan Patel,Male,1974-10-14,Government Employee,Agra,Uttar Pradesh,0.44,49
38,Rahul Kapoor,Other,2003-08-25,Student,Jodhpur,Rajasthan,0.38,20
39,Shaurya Chopra,Male,1967-02-24,Government Employee,Vadodara,Gujarat,0.33,56
40,Diya Bose,Female,1983-07-22,Self-employed,Kanpur,Uttar Pradesh,0.32,40
41,Krishna Jain,Other,1952-10-21,Retired,Ghaziabad,Uttar Pradesh,0.45,71
42,Avni Patel,Other,1971-11-20,Salaried,Ludhiana,Punjab,0.79,52
43,Aditya Khan,Male,2004-08-20,Student,Ahmedabad,Gujarat,0.42,19
44,Ananya Iyer,Other,1951-09-10,Retired,Kalyan-Dombivli,Maharashtra,0.21,72
45,Vihaan Bose,Other,1992-08-22,Business Owner,Amritsar,Punjab,0.59,31
46,Myra Yadav,Female,1950-12-28,Retired,Srinagar,Jammu & Kashmir,0.28,73
47,Rohan Yadav,Male,1963-12-15,Retired,Bhopal,Madhya Pradesh,0.35,60
48,Ishaan Iyer,Other,1980-07-11,Self-employed,Navi Mumbai,Maharashtra,0.42,43
49,Rahul Shetty,Male,2000-08-21,Salaried,Faridabad,Haryana,0.53,23
50,Diya Reddy,Other,1953-02-08,Retired,Ludhiana,Punjab,0.7,70
51,Aadhya Bose,Female,2005-06-22,Student,Chennai,Tamil Nadu,0.17,18
52,Priya Chopra,Female,1949-07-09,Retired,Rajkot,Gujarat,0.8,74
53,Anika Menon,Female,1999-11-02,Business Owner,Delhi,Delhi,0.23,24
54,Aditya Singh,Male,1959-09-24,Retired,Raipur,Chhattisgarh,0.74,64
55,Arnav Kumar,Male,1968-01-10,Self-employed,Ranchi,Jharkhand,0.41,56
56,Ananya Nair,Other,1994-05-28,Business Owner,Madurai,Tamil Nadu,0.77,29
57,Arnav Bose,Other,1960-11-11,Retired,Mumbai,Maharashtra,0.79,63
58,Vivaan Nair,Male,1955-10-02,Retired,Vijayawada,Andhra Pradesh,0.6,68
59,Shaurya Naidu,Other,1973-04-27,Government Employee,Chennai,Tamil Nadu,0.84,50
60,Krishna Gowda,Male,1964-06-06,Teacher,Aurangabad,Maharashtra,0.37,59
61,Myra Kapoor,Female,2006-04-03,Student,Bhopal,Madhya Pradesh,0.49,17
62,Reyansh Banerjee,Male,1952-08-14,Retired,Bhopal,Madhya Pradesh,0.65,71
63,Sanjana Menon,Female,1965-08-09,Teacher,Vadodara,Gujarat,0.26,58
64,Sanjana Bose,Other,1983-08-09,Self-employed,Howrah,West Bengal,0.59,40
65,Rohan Reddy,Male,1985-12-18,Doctor,Jaipur,Rajasthan,0.09,38
66,Arnav Singh,Male,1957-02-04,Retired,Srinagar,Jammu & Kashmir,0.45,66
67,Rohan Banerjee,Male,1999-02-19,Salaried,Gwalior,Madhya Pradesh,0.19,24
68,Arjun Reddy,Other,1954-10-08,Retired,Amritsar,Punjab,0.46,69
69,Priya Jain,Female,2000-12-04,Government Employee,Indore,Madhya Pradesh,0.29,23
70,Sai Gupta,Male,2007-12-20,Student,Srinagar,Jammu & Kashmir,0.08,16
71,Myra Das,Female,1978-11-19,Salaried,Jodhpur,Rajasthan,0.43,45
72,Riya Kapoor,Other,1998-05-20,Self-employed,Ranchi,Jharkhand,0.45,25
73,Myra Iyer,Female,1943-08-03,Retired,Coimbatore,Tamil Nadu,0.85,80
74,Aarav Gupta,Other,2005-11-27,Student,Pimpri-Chinchwad,Maharashtra,0.09,18
75,Reyansh Das,Male,1984-07-21,Engineer,Aurangabad,Maharashtra,0.47,39
76,Sneha Patel,Female,1955-05-22,Retired,Meerut,Uttar Pradesh,0.08,68
77,Vihaan Iyer,Male,2007-09-15,Student,Rajkot,Gujarat,0.22,16
78,Ananya Nair,Female,1957-03-07,Retired,Vasai-Virar,Maharashtra,0.16,66
79,Ishaan Patel,Other,2006-02-08,Student,Pune,Maharashtra,0.9,17
80,Anika Jain,Other,1973-08-16,Lawyer,Bhopal,Madhya Pradesh,0.55,50
81,Sanjana Singh,Female,1972-07-11,Salaried,Dhanbad,Jharkhand,0.79,51
82,Kiara Shetty,Female,1945-08-18,Retired,Srinagar,Jammu & Kashmir,0.35,78
83,Sara Khan,Other,1958-07-02,Retired,Ghaziabad,Uttar Pradesh,0.68,65
84,Sara Nair,Female,1944-03-17,Retired,Howrah,West Bengal,0.83,79
85,Anika Singh,Female,1988-05-11,Teacher,Jabalpur,Madhya Pradesh,0.63,35
86,Kiara Bose,Female,1967-08-28,Teacher,Navi Mumbai,Maharashtra,0.61,56
87,Shaurya Jain,Male,1996-02-25,Business Owner,Gwalior,Madhya Pradesh,0.45,27
88,Vihaan Chopra,Other,2001-08-20,Student,Bhopal,Madhya Pradesh,0.42,22
89,Vivaan Patel,Other,1959-04-16,Retired,Howrah,West Bengal,0.26,64
90,Priya Sharma,Other,1957-09-10,Retired,Vasai-Virar,Maharashtra,0.94,66
91,Priya Kapoor,Female,1960-10-17,Retired,Bhopal,Madhya Pradesh,0.56,63
92,Krishna Sharma,Other,1972-11-25,Teacher,Hyderabad,Telangana,0.8,51
93,Nisha Gowda,Female,1979-10-09,Doctor,Madurai,Tamil Nadu,0.62,44
94,Krishna Das,Other,2003-01-15,Student,Ghaziabad,Uttar Pradesh,0.21,20
95,Shaurya Menon,Male,1943-03-09,Retired,Srinagar,Jammu & Kashmir,0.72,80
96,Ananya Gupta,Female,1979-12-22,Self-employed,Meerut,Uttar Pradesh,0.38,44
97,Sneha Das,Female,1974-11-12,Doctor,Kolkata,West Bengal,0.47,49
98,Kavya Chopra,Other,1979-11-27,Government Employee,Varanasi,Uttar Pradesh,0.63,44
99,Rohan Banerjee,Male,1995-09-05,Salaried,Faridabad,Haryana,0.38,28
100,Kavya Naidu,Other,1988-11-04,Government Employee,Aurangabad,Maharashtra,0.9,35
101,Nisha Das,Female,1948-02-27,Retired,Nashik,Maharashtra,0.86,75
102,Sai Khan,Other,1949-04-21,Retired,Gwalior,Madhya Pradesh,0.1,74
103,Sara Shetty,Female,1999-09-07,Business Owner,Howrah,West Bengal,0.78,24
104,Ayaan Gowda,Male,2000-07-11,Salaried,Navi Mumbai,Maharashtra,0.77,23
105,Aarav Singh,Male,2002-01-22,Student,Ghaziabad,Uttar Pradesh,0.21,21
106,Sai Kumar,Male,1947-06-17,Retired,Howrah,West Bengal,0.46,76
107,Aarav Rao,Male,1969-01-02,Lawyer,Srinagar,Jammu & Kashmir,0.43,55
108,Shaurya Das,Male,1997-03-03,Salaried,Jaipur,Rajasthan,0.61,26
109,Reyansh Iyer,Other,1940-09-20,Retired,Kalyan-Dombivli,Maharashtra,0.76,83
110,Reyansh Bose,Male,1952-04-14,Retired,Ludhiana,Punjab,0.41,71
111,Reyansh Rao,Other,1960-11-16,Retired,Ahmedabad,Gujarat,0.8,63
112,Arnav Menon,Male,2000-09-18,Self-employed,Ludhiana,Punjab,0.42,23
113,Dhruv Verma,Other,1968-10-17,Engineer,Indore,Madhya Pradesh,0.64,55
114,Vivaan Bose,Male,1993-10-08,Doctor,Kalyan-Dombivli,Maharashtra,0.93,30
115,Ishita Bose,Other,2005-12-24,Student,Vadodara,Gujarat,0.37,18
116,Krishna Rao,Male,1999-11-01,Teacher,Chennai,Tamil Nadu,0.24,24
117,Kavya Menon,Female,1966-10-20,Engineer,Chennai,Tamil Nadu,0.19,57
118,Sai Das,Other,1945-07-09,Retired,Indore,Madhya Pradesh,0.15,78
119,Avni Shetty,Female,1940-01-08,Retired,Meerut,Uttar Pradesh,0.06,84
120,Sara Singh,Female,1970-01-16,Engineer,Kalyan-Dombivli,Maharashtra,0.17,53
121,Sneha Bose,Other,1998-12-02,Doctor,Kalyan-Dombivli,Maharashtra,0.46,25
122,Krishna Naidu,Male,1956-07-10,Retired,Pune,Maharashtra,0.07,67
123,Ananya Menon,Female,1952-04-14,Retired,Howrah,West Bengal,0.52,71
124,Myra Chopra,Female,1965-02-17,Business Owner,Gwalior,Madhya Pradesh,0.53,58
125,Vivaan Menon,Male,1977-05-07,Self-employed,Kanpur,Uttar Pradesh,0.73,46
126,Anika Das,Other,1950-10-21,Retired,Gwalior,Madhya Pradesh,0.83,73
127,Arjun Banerjee,Other,1961-02-23,Retired,Agra,Uttar Pradesh,0.12,62
128,Anika Menon,Female,1998-02-20,Engineer,Coimbatore,Tamil Nadu,0.4,25
129,Avni Verma,Other,1965-08-12,Salaried,Surat,Gujarat,0.46,58
130,Sneha Yadav,Female,2002-08-15,Student,Amritsar,Punjab,0.6,21
131,Priya Naidu,Female,2001-11-11,Student,Ahmedabad,Gujarat,0.14,22
132,Sanjana Rao,Other,1988-10-22,Government Employee,Surat,Gujarat,0.33,35
133,Ayaan Singh,Other,1997-07-21,Government Employee,Ludhiana,Punjab,0.65,26
134,Riya Yadav,Other,1953-01-12,Retired,Vadodara,Gujarat,0.91,71
135,Ananya Khan,Female,1990-05-28,Business Owner,Kolkata,West Bengal,0.74,33
136,Vihaan Rao,Other,1991-03-06,Doctor,Kanpur,Uttar Pradesh,0.7,32
137,Reyansh Reddy,Male,1951-05-22,Retired,Navi Mumbai,Maharashtra,0.33,72
138,Nisha Menon,Female,1951-05-25,Retired,Faridabad,Haryana,0.52,72
139,Ayaan Gowda,Male,1975-08-28,Self-employed,Nashik,Maharashtra,0.89,48
140,Sara Kumar,Other,1997-05-15,Engineer,Dhanbad,Jharkhand,0.8,26
141,Aditya Das,Male,2004-07-17,Student,Nashik,Maharashtra,0.4,19
142,Vivaan Kumar,Male,2005-08-23,Student,Jaipur,Rajasthan,0.45,18
143,Aarav Kapoor,Male,1988-12-20,Business Owner,Amritsar,Punjab,0.15,35
144,Anika Reddy,Female,1949-08-20,Retired,Navi Mumbai,Maharashtra,0.62,74
145,Krishna Naidu,Other,2004-01-12,Student,Jodhpur,Rajasthan,0.52,19
146,Sanjana Yadav,Female,2005-08-02,Student,Gwalior,Madhya Pradesh,0.93,18
147,Ishita Gupta,Female,1977-11-04,Doctor,Howrah,West Bengal,0.17,46
148,Kiara Nair,Female,1948-08-21,Retired,Kanpur,Uttar Pradesh,0.11,75
149,Anika Khan,Female,2004-11-10,Student,Navi Mumbai,Maharashtra,0.28,19
150,Sara Verma,Other,2005-07-13,Student,Vasai-Virar,Maharashtra,0.36,18
151,Ishaan Menon,Male,1973-12-14,Lawyer,Chennai,Tamil Nadu,0.59,50
152,Vivaan Kumar,Male,1966-05-15,Salaried,Coimbatore,Tamil Nadu,0.2,57
153,Myra Menon,Female,1952-01-03,Retired,Jodhpur,Rajasthan,0.38,72
154,Aarav Singh,Other,1951-02-08,Retired,Vijayawada,Andhra Pradesh,0.38,72
155,Priya Das,Other,1960-02-19,Retired,Jaipur,Rajasthan,0.38,63
156,Nisha Kumar,Female,2006-04-11,Student,Pune,Maharashtra,0.75,17
157,Diya Jain,Other,1948-01-28,Retired,Kota,Rajasthan,0.95,75
158,Reyansh Rao,Other,1999-05-10,Doctor,Lucknow,Uttar Pradesh,0.76,24
159,Avni Singh,Other,1944-09-19,Retired,Nashik,Maharashtra,0.77,79
160,Arjun Jain,Other,1946-07-27,Retired,Ranchi,Jharkhand,0.16,77
161,Ananya Das,Female,1963-09-21,Retired,Howrah,West Bengal,0.74,60
162,Shaurya Verma,Male,1941-03-06,Retired,Ghaziabad,Uttar Pradesh,0.36,82
163,Sara Gupta,Other,1982-09-09,Engineer,Jaipur,Rajasthan,0.6,41
164,Arjun Shetty,Male,1988-10-24,Government Employee,Coimbatore,Tamil Nadu,0.81,35
165,Arjun Verma,Other,1974-10-14,Government Employee,Jabalpur,Madhya Pradesh,0.5,49
166,Ishita Jain,Other,1959-03-20,Retired,Vadodara,Gujarat,0.12,64
167,Ishaan Das,Male,1964-06-28,Business Owner,Kota,Rajasthan,0.71,59
168,Kavya Menon,Female,1994-08-04,Lawyer,Pimpri-Chinchwad,Maharashtra,0.27,29
169,Dhruv Gowda,Male,1976-03-27,Teacher,Ghaziabad,Uttar Pradesh,0.7,47
170,Ishaan Yadav,Male,1944-08-01,Retired,Chennai,Tamil Nadu,0.5,79
171,Aarav Verma,Male,1944-11-22,Retired,Srinagar,Jammu & Kashmir,0.53,79
172,Shaurya Kapoor,Male,1956-07-02,Retired,Ranchi,Jharkhand,0.23,67
173,Sneha Das,Other,1972-10-22,Lawyer,Jabalpur,Madhya Pradesh,0.17,51
174,Sai Menon,Male,1982-07-17,Self-employed,Bengaluru,Karnataka,0.09,41
175,Sneha Das,Other,1942-10-11,Retired,Lucknow,Uttar Pradesh,0.94,81
176,Nisha Chopra,Other,1942-12-19,Retired,Vadodara,Gujarat,0.78,81
177,Priya Shetty,Female,2004-05-21,Student,Howrah,West Bengal,0.25,19
178,Arjun Yadav,Male,1959-11-08,Retired,Bengaluru,Karnataka,0.9,64
179,Vivaan Naidu,Male,1955-07-17,Retired,Jabalpur,Madhya Pradesh,0.84,68
180,Ananya Singh,Other,1981-11-16,Lawyer,Amritsar,Punjab,0.33,42
181,Sai Chopra,Male,1962-12-22,Retired,Vijayawada,Andhra Pradesh,0.6,61
182,Rohan Bose,Male,1979-05-25,Engineer,Patna,Bihar,0.67,44
183,Sanjana Kapoor,Female,1992-09-13,Engineer,Meerut,Uttar Pradesh,0.91,31
184,Arnav Gupta,Male,1951-12-16,Retired,Indore,Madhya Pradesh,0.8,72
185,Myra Kapoor,Female,1994-10-08,Self-employed,Bhopal,Madhya Pradesh,0.65,29
186,Vihaan Kumar,Other,1965-02-22,Teacher,Jaipur,Rajasthan,0.92,58
187,Shaurya Banerjee,Male,1947-03-02,Retired,Patna,Bihar,0.87,76
188,Aditya Bose,Male,2004-10-20,Student,Meerut,Uttar Pradesh,0.22,19
189,Riya Jain,Other,2004-06-09,Student,Patna,Bihar,0.94,19
190,Kiara Singh,Other,1948-02-11,Retired,Lucknow,Uttar Pradesh,0.63,75
191,Reyansh Jain,Other,1983-11-13,Government Employee,Kalyan-Dombivli,Maharashtra,0.35,40
192,Kavya Singh,Female,1951-11-05,Retired,Faridabad,Haryana,0.45,72
193,Diya Shetty,Female,2006-06-23,Student,Bhopal,Madhya Pradesh,0.65,17
194,Avni Yadav,Female,1992-05-12,Engineer,Jabalpur,Madhya Pradesh,0.25,31
195,Ishaan Gowda,Male,1954-08-25,Retired,Navi Mumbai,Maharashtra,0.74,69
196,Sara Gupta,Other,1950-06-03,Retired,Ranchi,Jharkhand,0.11,73
197,Rahul Shetty,Other,1988-09-15,Lawyer,Pune,Maharashtra,0.7,35
198,Ananya Verma,Female,1964-07-26,Salaried,Hyderabad,Telangana,0.47,59
199,Priya Kapoor,Female,2006-09-06,Student,Agra,Uttar Pradesh,0.54,17
200,Vihaan Banerjee,Male,2004-02-19,Student,Vijayawada,Andhra Pradesh,0.39,19
201,Riya Iyer,Female,1997-11-28,Teacher,Navi Mumbai,Maharashtra,0.64,26
202,Priya Yadav,Female,1979-01-10,Self-employed,Varanasi,Uttar Pradesh,0.43,45
203,Nisha Das,Female,2002-02-02,Student,Jodhpur,Rajasthan,0.6,21
204,Vihaan Gowda,Male,2001-04-08,Student,Hyderabad,Telangana,0.72,22
205,Sanjana Khan,Female,2003-08-19,Student,Ranchi,Jharkhand,0.57,20
206,Ishaan Jain,Other,1941-05-09,Retired,Hyderabad,Telangana,0.9,82
207,Ishita Rao,Other,1944-06-21,Retired,Jodhpur,Rajasthan,0.76,79
208,Priya Singh,Female,1959-09-16,Retired,Bhopal,Madhya Pradesh,0.32,64
209,Riya Verma,Other,1955-09-17,Retired,Jaipur,Rajasthan,0.27,68
210,Shaurya Das,Male,1996-04-02,Doctor,Pimpri-Chinchwad,Maharashtra,0.66,27
211,Rahul Shetty,Other,1980-06-10,Lawyer,Mumbai,Maharashtra,0.89,43
212,Riya Reddy,Other,1981-04-18,Government Employee,Ghaziabad,Uttar Pradesh,0.39,42
213,Krishna Kapoor,Other,1942-08-04,Retired,Srinagar,Jammu & Kashmir,0.87,81
214,Aadhya Reddy,Female,2005-10-19,Student,Rajkot,Gujarat,0.19,18
215,Kiara Reddy,Female,1957-12-27,Retired,Aurangabad,Maharashtra,0.2,66
216,Sanjana Banerjee,Female,2000-02-27,Self-employed,Jodhpur,Rajasthan,0.74,23
217,Nisha Gupta,Female,2006-08-12,Student,Hyderabad,Telangana,0.64,17
218,Rahul Sharma,Male,2000-04-21,Salaried,Delhi,Delhi,0.78,23
219,Riya Patel,Other,1995-04-07,Salaried,Jabalpur,Madhya Pradesh,0.28,28
220,Sneha Menon,Female,1949-12-08,Retired,Vadodara,Gujarat,0.64,74
221,Arjun Iyer,Other,1959-01-21,Retired,Mumbai,Maharashtra,0.12,64
222,Ishita Shetty,Female,1940-04-07,Retired,Raipur,Chhattisgarh,0.48,83
223,Reyansh Kapoor,Male,2003-06-01,Student,Indore,Madhya Pradesh,0.73,20
224,Riya Gupta,Other,1987-10-27,Engineer,Faridabad,Haryana,0.35,36
225,Sanjana Gupta,Other,1963-07-08,Retired,Ahmedabad,Gujarat,0.59,60
226,Ayaan Chopra,Other,2004-02-23,Student,Thane,Maharashtra,0.55,19
227,Avni Shetty,Female,1997-05-26,Teacher,Bhopal,Madhya Pradesh,0.12,26
228,Arjun Iyer,Male,2007-05-15,Student,Nashik,Maharashtra,0.14,16
229,Sai Bose,Male,1955-02-12,Retired,Allahabad,Uttar Pradesh,0.59,68
230,Anika Jain,Female,1958-12-18,Retired,Bhopal,Madhya Pradesh,0.52,65
231,Sai Jain,Other,1944-03-14,Retired,Pimpri-Chinchwad,Maharashtra,0.32,79
232,Arnav Nair,Male,1954-05-13,Retired,Mumbai,Maharashtra,0.35,69
233,Shaurya Chopra,Other,1990-10-23,Teacher,Nagpur,Maharashtra,0.33,33
234,Diya Nair,Female,1961-05-19,Retired,Meerut,Uttar Pradesh,0.15,62
235,Vivaan Rao,Other,2004-08-23,Student,Indore,Madhya Pradesh,0.77,19
236,Priya Banerjee,Other,1969-11-05,Self-employed,Kota,Rajasthan,0.76,54
237,Krishna Banerjee,Male,1956-12-14,Retired,Navi Mumbai,Maharashtra,0.76,67
238,Sara Bose,Female,1997-04-22,Government Employee,Jodhpur,Rajasthan,0.2,26
239,Priya Nair,Other,1965-07-04,Teacher,Mumbai,Maharashtra,0.28,58
240,Kavya Shetty,Other,1979-07-15,Government Employee,Madurai,Tamil Nadu,0.19,44
241,Rohan Naidu,Male,1993-12-05,Salaried,Agra,Uttar Pradesh,0.36,30
242,Vivaan Banerjee,Male,1951-08-11,Retired,Ahmedabad,Gujarat,0.09,72
243,Ishita Kumar,Other,1976-09-06,Self-employed,Ludhiana,Punjab,0.43,47
244,Avni Patel,Female,1952-12-20,Retired,Nagpur,Maharashtra,0.58,71
245,Nisha Kapoor,Female,1994-09-06,Salaried,Nashik,Maharashtra,0.23,29
246,Sai Nair,Male,1958-10-04,Retired,Agra,Uttar Pradesh,0.81,65
247,Ananya Jain,Other,1997-06-04,Government Employee,Bhopal,Madhya Pradesh,0.16,26
248,Sanjana Iyer,Female,1990-07-06,Teacher,Aurangabad,Maharashtra,0.67,33
249,Vivaan Bose,Other,1945-03-11,Retired,Vasai-Virar,Maharashtra,0.83,78
250,Aditya Iyer,Male,1943-07-22,Retired,Aurangabad,Maharashtra,0.69,80
251,Sneha Shetty,Female,2003-01-07,Student,Patna,Bihar,0.75,20
252,Aadhya Banerjee,Other,1942-02-09,Retired,Navi Mumbai,Maharashtra,0.54,81
253,Ishaan Bose,Male,1953-11-25,Retired,Bhopal,Madhya Pradesh,0.84,70
254,Vivaan Gupta,Male,1964-03-16,Salaried,Howrah,West Bengal,0.82,59
255,Vivaan Gowda,Other,1981-01-19,Self-employed,Agra,Uttar Pradesh,0.3,42
256,Krishna Jain,Other,1973-09-22,Government Employee,Kolkata,West Bengal,0.92,50
257,Diya Nair,Female,1991-12-11,Self-employed,Bhopal,Madhya Pradesh,0.49,32
258,Ishita Naidu,Other,1950-02-13,Retired,Dhanbad,Jharkhand,0.68,73
259,Ananya Chopra,Female,2007-12-03,Student,Varanasi,Uttar Pradesh,0.82,16
260,Myra Khan,Other,1944-06-17,Retired,Allahabad,Uttar Pradesh,0.17,79
261,Riya Rao,Female,2003-10-07,Student,Pune,Maharashtra,0.45,20
262,Rahul Khan,Male,1969-05-03,Self-employed,Vijayawada,Andhra Pradesh,0.28,54
263,Avni Patel,Female,2000-12-21,Salaried,Thane,Maharashtra,0.64,23
264,Anika Gupta,Other,1979-08-01,Self-employed,Mumbai,Maharashtra,0.79,44
265,Ananya Gupta,Female,1958-02-04,Retired,Ghaziabad,Uttar Pradesh,0.84,65
266,Reyansh Rao,Male,1999-01-20,Self-employed,Vijayawada,Andhra Pradesh,0.45,24
267,Rohan Naidu,Other,1951-02-04,Retired,Jaipur,Rajasthan,0.58,72
268,Ishita Singh,Female,1972-04-18,Business Owner,Coimbatore,Tamil Nadu,0.75,51
269,Kiara Jain,Other,1941-04-24,Retired,Meerut,Uttar Pradesh,0.63,82
270,Vihaan Reddy,Male,1945-11-21,Retired,Ghaziabad,Uttar Pradesh,0.4,78
271,Kavya Rao,Other,1947-02-01,Retired,Howrah,West Bengal,0.06,76
272,Ayaan Iyer,Male,1971-09-25,Lawyer,Rajkot,Gujarat,0.68,52
273,Sai Gowda,Male,1972-02-17,Self-employed,Indore,Madhya Pradesh,0.53,51
274,Sara Nair,Female,1968-12-28,Salaried,Bhopal,Madhya Pradesh,0.27,55
275,Aadhya Verma,Female,1985-12-05,Engineer,Raipur,Chhattisgarh,0.2,38
276,Sara Kapoor,Female,1960-05-24,Retired,Pune,Maharashtra,0.35,63
277,Diya Shetty,Female,1944-06-02,Retired,Aurangabad,Maharashtra,0.2,79
278,Shaurya Shetty,Male,1978-01-02,Salaried,Mumbai,Maharashtra,0.09,46
279,Kavya Verma,Female,1954-04-14,Retired,Ghaziabad,Uttar Pradesh,0.79,69
280,Priya Verma,Other,1979-01-13,Self-employed,Ahmedabad,Gujarat,0.83,44
281,Ananya Sharma,Female,2001-05-24,Student,Jabalpur,Madhya Pradesh,0.47,22
282,Aadhya Khan,Other,1976-07-01,Lawyer,Thane,Maharashtra,0.36,47
283,Reyansh Sharma,Other,1968-09-08,Teacher,Rajkot,Gujarat,0.92,55
284,Vihaan Verma,Male,1941-06-15,Retired,Chennai,Tamil Nadu,0.5,82
285,Arjun Shetty,Other,2000-03-08,Government Employee,Patna,Bihar,0.82,23
286,Myra Chopra,Female,2007-04-05,Student,Howrah,West Bengal,0.19,16
287,Vivaan Naidu,Male,1962-04-15,Retired,Vadodara,Gujarat,0.29,61
288,Rohan Gowda,Male,2001-01-20,Student,Chennai,Tamil Nadu,0.92,22
289,Avni Jain,Female,1985-07-28,Engineer,Vasai-Virar,Maharashtra,0.72,38
290,Ayaan Singh,Male,2006-04-05,Student,Nagpur,Maharashtra,0.39,17
291,Arjun Shetty,Other,1974-02-01,Government Employee,Ahmedabad,Gujarat,0.86,49
292,Sneha Chopra,Female,2002-01-06,Student,Ranchi,Jharkhand,0.79,22
293,Priya Rao,Female,1985-03-09,Teacher,Pimpri-Chinchwad,Maharashtra,0.85,38
294,Krishna Reddy,Male,1944-09-16,Retired,Hyderabad,Telangana,0.3,79
295,Reyansh Yadav,Male,2005-12-12,Student,Srinagar,Jammu & Kashmir,0.75,18
296,Sanjana Chopra,Female,1973-06-20,Teacher,Thane,Maharashtra,0.86,50
297,Sanjana Menon,Female,1978-02-08,Government Employee,Jodhpur,Rajasthan,0.29,45
298,Nisha Iyer,Other,2003-06-26,Student,Raipur,Chhattisgarh,0.87,20
299,Vivaan Shetty,Male,1989-04-27,Government Employee,Aurangabad,Maharashtra,0.33,34
300,Nisha Gowda,Female,2005-01-11,Student,Jabalpur,Madhya Pradesh,0.78,18
301,Riya Chopra,Female,2002-06-09,Student,Pune,Maharashtra,0.82,21
302,Rahul Shetty,Male,1964-03-06,Salaried,Kalyan-Dombivli,Maharashtra,0.63,59
303,Sai Gowda,Male,1979-03-13,Doctor,Vadodara,Gujarat,0.16,44
304,Nisha Iyer,Other,2003-06-26,Student,Jabalpur,Madhya Pradesh,0.63,20
305,Arjun Chopra,Male,1977-06-06,Salaried,Gwalior,Madhya Pradesh,0.79,46
306,Kiara Chopra,Other,1963-03-20,Retired,Agra,Uttar Pradesh,0.76,60
307,Shaurya Naidu,Other,1955-07-12,Retired,Navi Mumbai,Maharashtra,0.14,68
308,Aadhya Nair,Female,1987-01-10,Business Owner,Delhi,Delhi,0.29,37
